,Applied during year,Country / territory of asylum/residence,Origin,Otherwise closed,RSD procedure type / level,Rejected,Tota pending start-year,Total decisions,Total pending end-year,Year,of which UNHCR-assisted,statistics.filter.decisions_other,statistics.filter.decisions_recognized
109878,2,Sweden,Cameroon,0,G / RA,0,0,,2,2015,0,0,0
109879,15,Sweden,Cameroon,3,G / AR,18,5,23,1,2015,0,1,1
109880,60,Sweden,Cameroon,17,G / FI,9,48,34,75,2015,0,2,6
109881,514,Chad,Cameroon,,G / FA,,8,,522,2015,522,,
109882,,Thailand,Cameroon,,U / AR,1,1,1,0,2015,0,,
109883,8,Thailand,Cameroon,7,U / FI,5,14,12,10,2015,10,,
109884,,Tunisia,Cameroon,1,U / FI,,1,1,0,2015,0,,
109885,7,Turkey,Cameroon,4,U / AR,2,6,6,7,2015,7,,
109886,38,Turkey,Cameroon,15,U / FI,7,78,22,94,2015,94,,
109887,1,Ukraine,Cameroon,,U / AR,0,1,,2,2015,2,,0
109888,2,Ukraine,Cameroon,2,U / FI,0,0,3,0,2015,0,,1
109889,8,Ukraine,Cameroon,0,G / JR,3,89,3,94,2015,16,,0
109890,17,Ukraine,Cameroon,6,G / FI,6,16,12,21,2015,14,0,0
109891,1,Uruguay,Cameroon,0,G / FI,0,0,,1,2015,1,0,0
109892,78,Austria,Cameroon,8,G / FA,47,84,85,92,2015,0,5,25
109893,1,Austria,Cameroon,,G / RA,,,,,2015,,,
109894,152,Belgium,Cameroon,19,G / JR,129,,161,52,2015,0,,13
109895,281,Belgium,Cameroon,13,G / FI,153,85,235,119,2015,0,4,65
109896,,Belgium,Cameroon,,G / RA,,,,,2015,,,
109897,,Burkina Faso,Cameroon,,J / FI,,1,,1,2015,1,,
109898,2,Bulgaria,Cameroon,16,G / FI,12,34,28,18,2015,18,,
109899,4,Bulgaria,Cameroon,,G / RA,,,,,2015,,,
109900,4,Bosnia and Herzegovina,Cameroon,4,G / FI,,,4,0,2015,0,,
109901,1,Bolivia (Plurinational State of),Cameroon,,G / FI,,,1,0,2015,,,1
109902,86,Brazil,Cameroon,,G / FI,4,59,15,130,2015,93,,11
109903,,Central African Rep.,Cameroon,,G / FI,,1,1,0,2015,0,,1
109904,53,Canada,Cameroon,,G / AR,41,24,56,20,2015,,,15
109905,220,Canada,Cameroon,,G / FI,48,58,193,106,2015,,,145
109906,3,Switzerland,Cameroon,,G / FI,,,,,2015,,,
109907,1,Chile,Cameroon,,G / FI,,0,,1,2015,1,,
109908,18,China,Cameroon,7,U / FI,2,23,10,31,2015,31,,1
109909,2,China,Cameroon,,U / AR,,,,2,2015,2,,
109910,2,Côte d'Ivoire,Cameroon,,J / FA,,11,,13,2015,13,,
109911,4,Dem. Rep. of the Congo,Cameroon,0,G / FI,0,38,,42,2015,42,0,0
109912,3,Congo,Cameroon,1,G / FA,,2,2,3,2015,3,,1
109913,18,Costa Rica,Cameroon,,G / FI,2,7,2,23,2015,23,,
109914,1,Costa Rica,Cameroon,,G / AR,,,,1,2015,1,,
109915,1,Cyprus,Cameroon,,G / RA,,,,1,2015,,,
109916,1,Cyprus,Cameroon,,G / FI,,,,1,2015,,,
109917,4,Cyprus,Cameroon,,U / FA,5,1,5,0,2015,,,
109918,3,Cyprus,Cameroon,,G / AR,9,8,9,2,2015,,,
109919,2,Czech Rep.,Cameroon,2,G / FI,,3,2,3,2015,0,,
109920,964,Germany,Cameroon,261,G / NA,94,643,361,1222,2015,0,6,0
109921,40,Germany,Cameroon,19,G / RA,0,29,20,52,2015,,1,0
109922,,Germany,Cameroon,241,G / JR,40,358,286,232,2015,0,4,1
109923,8,Denmark,Cameroon,,G / FI,3,1,3,3,2015,0,0,0
109924,3,Denmark,Cameroon,,G / AR,2,1,3,1,2015,0,1,0
109925,1,Algeria,Cameroon,1,U / RA,,,1,0,2015,,,
109926,38,Algeria,Cameroon,10,U / FI,26,18,38,18,2015,18,,2
109927,9,Algeria,Cameroon,3,U / AR,9,7,13,3,2015,3,,1
109928,2,Egypt,Cameroon,,U / AR,,,,2,2015,2,,
109929,,Egypt,Cameroon,,U / RA,,2,,2,2015,2,,
109930,5,Egypt,Cameroon,,U / FI,2,40,2,43,2015,43,,
109931,153,Spain,Cameroon,,G / FI,48,100,50,135,2015,,,2
109932,4,Estonia,Cameroon,0,G / FI,4,1,4,0,2015,0,0,0
109933,,Ethiopia,Cameroon,,J / FI,,1,,1,2015,1,,
109934,1,Finland,Cameroon,0,G / RA,0,,,0,2015,0,0,0
109935,36,Finland,Cameroon,5,G / FI,9,31,25,41,2015,0,0,11
109936,7,France,Cameroon,,G / RA,,,,,2015,,,
109937,387,France,Cameroon,,G / FI,157,205,197,387,2015,,9,31
109938,101,France,Cameroon,13,G / AR,92,75,130,59,2015,,4,21
109939,,Gabon,Cameroon,,G / FA,,1,,1,2015,1,,
109940,1,United Kingdom,Cameroon,0,G / RA,0,,,,2015,,0,0
109941,142,United Kingdom,Cameroon,5,G / FI,111,162,171,169,2015,,7,48
109942,90,United Kingdom,Cameroon,3,G / AR,35,,57,,2015,,,19
109943,15,Georgia,Cameroon,1,G / FI,,0,1,14,2015,14,,
109944,2,Ghana,Cameroon,,G / FI,3,8,3,7,2015,7,,
109945,1,Guinea,Cameroon,,G / FI,1,0,1,0,2015,0,,
109946,,Gambia,Cameroon,1,G / FI,,1,1,0,2015,,,
109947,,Guinea-Bissau,Cameroon,,G / FI,,1,,1,2015,1,,
109948,92,Greece,Cameroon,2,G / AR,46,16,71,30,2015,,1,22
109949,7,Greece,Cameroon,,G / RA,,,,,2015,,,
109950,166,Greece,Cameroon,101,G / FI,179,138,299,12,2015,,3,16
109951,,China HK,Cameroon,,U / FI,,1,,1,2015,0,,
109952,4,Croatia,Cameroon,,G / FI,4,,4,0,2015,,,
109953,1,Croatia,Cameroon,,G / JR,,,,1,2015,1,,
109954,632,Hungary,Cameroon,,G / RA,,,,,2015,,,
109955,642,Hungary,Cameroon,540,G / FI,23,12,567,91,2015,0,2,2
109956,11,Indonesia,Cameroon,1,U / FI,2,8,4,15,2015,15,,1
109957,2,Indonesia,Cameroon,,U / AR,1,1,1,2,2015,2,,
109958,17,India,Cameroon,5,U / FI,17,25,22,20,2015,20,0,0
109959,9,India,Cameroon,0,U / AR,7,2,7,4,2015,4,0,0
109960,12,Ireland,Cameroon,1,G / FI,8,8,13,8,2015,0,,4
109961,9,Ireland,Cameroon,6,G / SP,4,8,12,5,2015,0,,2
109962,1,Ireland,Cameroon,,G / RA,,,,,2015,0,,
109963,14,Ireland,Cameroon,6,G / AR,3,21,13,22,2015,0,,4
109964,1,Iraq,Cameroon,,U / FI,,,,1,2015,1,,
109965,1,Iceland,Cameroon,0,G / FI,0,1,2,0,2015,0,0,2
109966,,Israel,Cameroon,,G / FA,,,,,2015,,,
109967,332,Italy,Cameroon,,G / FI,98,2,229,1,2015,,86,45
109968,0,Jordan,Cameroon,0,U / AR,0,1,1,0,2015,0,0,1
109969,0,Jordan,Cameroon,1,U / FI,0,2,1,1,2015,1,0,0
109970,67,Japan,Cameroon,,G / FI,42,41,43,57,2015,13,1,
109971,45,Japan,Cameroon,,G / AR,,151,,144,2015,0,,
109972,,Kenya,Cameroon,1,J / FI,,12,1,11,2015,11,,
109973,,Kenya,Cameroon,,J / AR,,2,,2,2015,2,,
109974,78,Rep. of Korea,Cameroon,7,G / FA,114,152,122,106,2015,18,,1
109975,7,Lebanon,Cameroon,,U / FI,,,,7,2015,7,,
109976,,Lebanon,Cameroon,,U / AR,,1,,1,2015,1,,
109977,,Libya,Cameroon,,U / FI,,1,,1,2015,1,,
109978,0,Lithuania,Cameroon,0,G / FI,1,1,1,0,2015,0,0,0
109979,,Luxembourg,Cameroon,,G / RA,,,,,2015,0,,
109980,5,Luxembourg,Cameroon,3,G / AR,,,4,,2015,0,,1
109981,12,Luxembourg,Cameroon,9,G / FI,1,23,13,23,2015,0,,3
109982,0,Latvia,Cameroon,1,G / FI,0,1,1,0,2015,0,0,0
109983,,China Macao,Cameroon,,G / FI,,1,,1,2015,0,,
109984,34,Morocco,Cameroon,7,U / AR,7,12,18,28,2015,28,0,4
109985,191,Morocco,Cameroon,74,U / FI,71,157,182,166,2015,166,0,37
109986,1,Rep. of Moldova,Cameroon,1,G / FI,1,1,2,0,2015,0,,
109987,1,Rep. of Moldova,Cameroon,,G / JR,1,,1,0,2015,0,,
109988,1,Madagascar,Cameroon,,U / FI,,0,,1,2015,0,,
109989,4,Mexico,Cameroon,1,G / FI,1,7,4,7,2015,0,,2
109990,4,The former Yugoslav Republic of Macedonia,Cameroon,4,G / FA,,0,4,0,2015,0,,
109991,1,Mali,Cameroon,,G / FI,,1,,2,2015,2,,
109992,2,Malta,Cameroon,,G / AR,,,,2,2015,,,
109993,2,Malta,Cameroon,1,G / FI,2,1,3,,2015,0,,
109994,6,Montenegro,Cameroon,6,G / FA,0,0,6,0,2015,0,0,0
109995,24,Mauritania,Cameroon,,U / FA,21,23,25,22,2015,22,,4
109996,12,Mauritania,Cameroon,1,U / AR,6,,8,4,2015,4,,1
109997,3,Malaysia,Cameroon,,U / FI,,1,,4,2015,4,,
109998,,Malaysia,Cameroon,,U / AR,,2,,2,2015,2,,
109999,3,Namibia,Cameroon,3,G / FI,,3,3,3,2015,1,,
110000,5,Nigeria,Cameroon,6,G / FI,,11,8,8,2015,8,,2
110001,4,Netherlands,Cameroon,,G / RA,1,2,4,1,2015,,,3
110002,27,Netherlands,Cameroon,4,G / FI,14,15,20,15,2015,,,2
110003,5,Norway,Cameroon,0,G / AR,5,0,5,0,2015,0,0,0
110004,15,Norway,Cameroon,9,G / FI,3,0,14,4,2015,0,0,2
110005,0,Norway,Cameroon,0,G / RA,0,0,,0,2015,0,0,0
110006,0,Nauru,Cameroon,,G / FI,1,1,1,0,2015,0,,0
110007,2,New Zealand,Cameroon,,G / FI,1,1,1,2,2015,0,,0
110008,2,Albania,Cameroon,2,G / FI,,0,2,0,2015,0,,
110009,11,Argentina,Cameroon,3,G / FI,8,5,11,5,2015,2,,
110010,6,Australia,Cameroon,0,G / AR,2,4,3,7,2015,0,,1
110011,9,Australia,Cameroon,0,G / FI,0,16,3,12,2015,0,,3
110012,1597,Zambia,Dem. Rep. of the Congo,0,G / FI,617,1773,2075,1295,2015,1295,0,1458
110013,894,Zimbabwe,Dem. Rep. of the Congo,276,G / FI,98,491,894,186,2015,186,479,41
110014,17,United States of America,Dem. Rep. of the Congo,8,G / EO,10,84,31,128,2015,,,13
110015,291,United States of America,Dem. Rep. of the Congo,55,G / IN,2,384,138,558,2015,,,81
110016,1779,South Africa,Dem. Rep. of the Congo,494,G / AR,299,214,793,1200,2015,120,,
110017,6355,South Africa,Dem. Rep. of the Congo,,G / FI,4417,6355,5031,7679,2015,768,,614
110018,1,Peru,Dem. Rep. of the Congo,,G / FI,,1,,2,2015,0,,
110019,1,Poland,Dem. Rep. of the Congo,1,G / FI,,0,1,,2015,,,
110020,25,Portugal,Dem. Rep. of the Congo,11,G / FI,1,12,15,22,2015,0,3,0
110021,,Romania,Dem. Rep. of the Congo,,G / JR,2,0,2,,2015,,,
110022,9,Romania,Dem. Rep. of the Congo,,G / FI,3,1,5,6,2015,6,,2
110023,3,Romania,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110024,7,Russian Federation,Dem. Rep. of the Congo,0,G / TA,5,0,5,2,2015,2,0,0
110025,6,Russian Federation,Dem. Rep. of the Congo,0,G / FI,4,0,4,2,2015,2,0,0
110026,168,Rwanda,Dem. Rep. of the Congo,,G / FI,,178,44,302,2015,302,,44
110027,8,Sudan,Dem. Rep. of the Congo,2,G / FI,2,733,4,737,2015,737,0,0
110028,0,Sudan,Dem. Rep. of the Congo,0,U / FI,0,3,,3,2015,3,0,0
110029,24,Senegal,Dem. Rep. of the Congo,,G / FA,,249,,273,2015,273,,
110030,,Somalia,Dem. Rep. of the Congo,,U / FI,,4,,4,2015,4,,
110031,1026,Serbia and Kosovo (S/RES/1244 (1999)),Dem. Rep. of the Congo,1026,G / FI,,,1026,0,2015,,,
110032,1,South Sudan,Dem. Rep. of the Congo,5,U / FI,,5,6,0,2015,0,,1
110033,,Slovakia,Dem. Rep. of the Congo,1,G / FI,2,,3,,2015,0,,
110034,2,Slovakia,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110035,,Slovenia,Dem. Rep. of the Congo,,G / FI,,2,2,,2015,0,1,1
110036,11,Sweden,Dem. Rep. of the Congo,2,G / RA,4,7,8,14,2015,0,2,0
110037,30,Sweden,Dem. Rep. of the Congo,3,G / AR,30,10,34,9,2015,0,1,0
110038,33,Sweden,Dem. Rep. of the Congo,18,G / FI,13,53,37,42,2015,0,1,5
110039,27,Swaziland,Dem. Rep. of the Congo,32,G / FI,,125,64,88,2015,28,,32
110040,,Syrian Arab Rep.,Dem. Rep. of the Congo,,U / FI,,2,,2,2015,2,,
110041,31,Chad,Dem. Rep. of the Congo,,G / FA,2,107,19,119,2015,119,,17
110042,10,Togo,Dem. Rep. of the Congo,,G / FI,,76,7,79,2015,79,,7
110043,,Thailand,Dem. Rep. of the Congo,,U / AR,,1,,1,2015,1,,
110044,17,Thailand,Dem. Rep. of the Congo,8,U / FI,1,15,12,20,2015,20,,3
110045,3,Tunisia,Dem. Rep. of the Congo,,U / AR,1,,1,2,2015,2,,
110046,1,Tunisia,Dem. Rep. of the Congo,6,U / FI,1,6,7,0,2015,0,,
110047,9,Turkey,Dem. Rep. of the Congo,9,U / AR,2,13,11,11,2015,11,,
110048,36,Turkey,Dem. Rep. of the Congo,23,U / FI,9,250,37,249,2015,249,,5
110049,2,Turkey,Dem. Rep. of the Congo,,U / RA,2,1,2,1,2015,1,,
110050,1498,United Rep. of Tanzania,Dem. Rep. of the Congo,0,G / FI,180,795,344,1949,2015,1949,0,164
110051,19175,Uganda,Dem. Rep. of the Congo,0,G / FA,1191,9592,16270,12497,2015,12497,0,15079
110052,9,Ukraine,Dem. Rep. of the Congo,4,G / JR,5,129,14,124,2015,62,,5
110053,0,Ukraine,Dem. Rep. of the Congo,,U / AR,0,2,,2,2015,2,,0
110054,1,Ukraine,Dem. Rep. of the Congo,0,U / FI,0,2,,3,2015,3,,0
110055,7,Ukraine,Dem. Rep. of the Congo,5,G / FI,15,21,24,4,2015,4,3,1
110056,108,Austria,Dem. Rep. of the Congo,14,G / FA,35,139,89,158,2015,0,8,32
110057,2,Austria,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110058,310,Burundi,Dem. Rep. of the Congo,91,G / AR,267,756,737,329,2015,329,,379
110059,3444,Burundi,Dem. Rep. of the Congo,472,G / FI,0,1857,3298,2003,2015,2003,0,2826
110060,381,Belgium,Dem. Rep. of the Congo,65,G / JR,297,,378,116,2015,0,6,10
110061,628,Belgium,Dem. Rep. of the Congo,8,G / FI,408,178,621,215,2015,0,5,200
110062,162,Belgium,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110063,3,Benin,Dem. Rep. of the Congo,,G / FI,,1,,4,2015,4,,
110064,,Burkina Faso,Dem. Rep. of the Congo,,J / FI,,1,,1,2015,1,,
110065,1,Bulgaria,Dem. Rep. of the Congo,4,G / FI,2,12,6,5,2015,5,,
110066,2,Bulgaria,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110067,,Bosnia and Herzegovina,Dem. Rep. of the Congo,1,G / JR,,1,1,0,2015,0,,
110068,1,Bosnia and Herzegovina,Dem. Rep. of the Congo,1,G / FI,,,1,0,2015,0,,
110069,768,Brazil,Dem. Rep. of the Congo,,G / FI,14,448,268,948,2015,900,,254
110070,430,Botswana,Dem. Rep. of the Congo,11,G / FI,413,91,430,91,2015,91,,6
110071,13,Central African Rep.,Dem. Rep. of the Congo,25,G / FI,,334,74,273,2015,273,49,
110072,96,Canada,Dem. Rep. of the Congo,,G / AR,62,40,81,53,2015,,,19
110073,274,Canada,Dem. Rep. of the Congo,7,G / FI,160,140,269,166,2015,,,102
110074,11,Switzerland,Dem. Rep. of the Congo,,G / FI,,,,,2015,,,
110075,1,China,Dem. Rep. of the Congo,1,U / AR,,,1,0,2015,,,
110076,22,China,Dem. Rep. of the Congo,5,U / FI,1,4,10,16,2015,16,,4
110077,1,Côte d'Ivoire,Dem. Rep. of the Congo,,J / FA,,63,,64,2015,64,,
110078,7,Cameroon,Dem. Rep. of the Congo,,U / RA,,1,,8,2015,8,,
110079,100,Cameroon,Dem. Rep. of the Congo,89,U / FI,154,328,278,150,2015,150,,35
110080,154,Cameroon,Dem. Rep. of the Congo,19,U / AR,78,83,98,139,2015,139,,1
110081,651,Congo,Dem. Rep. of the Congo,1550,G / FA,,2380,1592,1439,2015,1439,,42
110082,17,Cyprus,Dem. Rep. of the Congo,2,G / FI,2,7,8,16,2015,20,,4
110083,1,Cyprus,Dem. Rep. of the Congo,,G / AR,3,7,3,5,2015,,,
110084,1,Czech Rep.,Dem. Rep. of the Congo,3,G / FI,,8,3,9,2015,0,,
110085,2,Czech Rep.,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110086,,Germany,Dem. Rep. of the Congo,18,G / JR,21,184,42,168,2015,0,,3
110087,156,Germany,Dem. Rep. of the Congo,21,G / NA,106,449,157,452,2015,0,23,7
110088,10,Germany,Dem. Rep. of the Congo,6,G / RA,1,32,7,34,2015,,0,0
110089,,Djibouti,Dem. Rep. of the Congo,3,G / FI,,3,3,0,2015,0,,
110090,6,Denmark,Dem. Rep. of the Congo,,G / AR,10,10,14,2,2015,0,0,4
110091,17,Denmark,Dem. Rep. of the Congo,,G / FI,7,6,8,6,2015,0,0,1
110092,32,Algeria,Dem. Rep. of the Congo,10,U / FI,23,26,41,17,2015,17,,8
110093,1,Algeria,Dem. Rep. of the Congo,1,U / RA,1,2,2,1,2015,1,,
110094,11,Algeria,Dem. Rep. of the Congo,,U / AR,13,8,13,6,2015,6,,
110095,3,Egypt,Dem. Rep. of the Congo,3,U / FI,,8,4,7,2015,7,,1
110096,1,Egypt,Dem. Rep. of the Congo,,U / RA,,11,,12,2015,12,,
110097,30,Spain,Dem. Rep. of the Congo,,G / FI,27,63,28,65,2015,,1,
110098,1,Estonia,Dem. Rep. of the Congo,0,G / FI,0,1,,1,2015,0,0,0
110099,69,Ethiopia,Dem. Rep. of the Congo,11,J / FI,4,580,29,620,2015,620,,14
110100,5,Finland,Dem. Rep. of the Congo,0,G / RA,1,,1,1,2015,0,0,0
110101,19,Finland,Dem. Rep. of the Congo,7,G / FI,7,23,21,15,2015,0,0,7
110102,4005,France,Dem. Rep. of the Congo,,G / FI,4241,3960,4774,2132,2015,,68,465
110103,248,France,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110104,4075,France,Dem. Rep. of the Congo,263,G / AR,3087,1830,3858,2462,2015,,60,448
110105,7,Gabon,Dem. Rep. of the Congo,,G / FA,,975,5,977,2015,977,5,
110106,0,United Kingdom,Dem. Rep. of the Congo,0,G / RA,0,,1,,2015,,0,1
110107,176,United Kingdom,Dem. Rep. of the Congo,7,G / AR,79,,146,,2015,,,60
110108,208,United Kingdom,Dem. Rep. of the Congo,31,G / FI,204,332,338,294,2015,,23,80
110109,6,Ghana,Dem. Rep. of the Congo,,G / FI,4,78,14,70,2015,70,,10
110110,,Guinea,Dem. Rep. of the Congo,,G / FI,,9,,9,2015,9,,
110111,4,Guinea-Bissau,Dem. Rep. of the Congo,,G / FI,,6,,10,2015,10,,
110112,35,Greece,Dem. Rep. of the Congo,3,G / AR,17,31,44,19,2015,,3,21
110113,7,Greece,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110114,113,Greece,Dem. Rep. of the Congo,66,G / FI,70,56,158,22,2015,,3,19
110115,,China HK,Dem. Rep. of the Congo,,U / AR,,3,,3,2015,0,,
110116,5,China HK,Dem. Rep. of the Congo,1,U / FI,,2,1,6,2015,0,,
110117,,Croatia,Dem. Rep. of the Congo,,G / FI,,1,1,0,2015,,,1
110118,1,Haiti,Dem. Rep. of the Congo,,U / FI,,,,1,2015,1,,
110119,1,Haiti,Dem. Rep. of the Congo,,U / AR,,,,1,2015,,,
110120,397,Hungary,Dem. Rep. of the Congo,,G / RA,,,,,2015,,,
110121,401,Hungary,Dem. Rep. of the Congo,546,G / FI,7,6,555,80,2015,0,,2
110122,1,Indonesia,Dem. Rep. of the Congo,,U / AR,,1,1,1,2015,1,,1
110123,9,Indonesia,Dem. Rep. of the Congo,,U / FI,1,11,1,19,2015,19,,
110124,5,India,Dem. Rep. of the Congo,11,U / FI,8,27,21,11,2015,11,0,2
110125,11,India,Dem. Rep. of the Congo,0,U / AR,9,1,9,3,2015,3,0,0
110126,60,Ireland,Dem. Rep. of the Congo,6,G / FI,33,39,46,55,2015,0,,7
110127,2,Ireland,Dem. Rep. of the Congo,,G / RA,,,,,2015,0,,
110128,31,Ireland,Dem. Rep. of the Congo,9,G / SP,4,18,15,34,2015,0,,2
110129,47,Ireland,Dem. Rep. of the Congo,12,G / AR,14,83,60,70,2015,0,,34
110130,,Israel,Dem. Rep. of the Congo,,G / FA,,,,,2015,,,
110131,117,Italy,Dem. Rep. of the Congo,,G / FI,22,63,111,89,2015,,47,42
110132,24,Japan,Dem. Rep. of the Congo,,G / FI,3,16,4,34,2015,16,,1
110133,36,Kenya,Dem. Rep. of the Congo,11,J / AR,2,306,67,275,2015,275,,54
110134,8333,Kenya,Dem. Rep. of the Congo,868,J / FI,3,7673,3589,12417,2015,12417,14,2704
110135,10,Rep. of Korea,Dem. Rep. of the Congo,2,G / FA,5,15,7,17,2015,10,,0
110136,6,Lebanon,Dem. Rep. of the Congo,,U / FI,1,3,4,5,2015,5,,3
110137,,Liberia,Dem. Rep. of the Congo,1,J / FI,,2,2,0,2015,,,1
110138,,Libya,Dem. Rep. of the Congo,,U / FI,,11,,11,2015,11,,
110139,1,Liechtenstein,Dem. Rep. of the Congo,,G / FI,,,,1,2015,0,,
110140,2,Luxembourg,Dem. Rep. of the Congo,,G / JR,3,1,3,,2015,0,,
110141,4,Luxembourg,Dem. Rep. of the Congo,5,G / FI,3,18,15,14,2015,0,,7
110142,1,Luxembourg,Dem. Rep. of the Congo,1,G / AR,5,12,11,1,2015,0,,5
110143,,Luxembourg,Dem. Rep. of the Congo,,G / RA,,,,,2015,0,,
110144,6,Latvia,Dem. Rep. of the Congo,0,G / FI,1,1,1,6,2015,0,0,0
110145,150,Morocco,Dem. Rep. of the Congo,30,U / AR,42,50,79,121,2015,121,0,7
110146,237,Morocco,Dem. Rep. of the Congo,241,U / FI,209,477,476,238,2015,238,0,26
110147,,Rep. of Moldova,Dem. Rep. of the Congo,,G / JR,1,1,1,0,2015,0,,
110148,2,Mexico,Dem. Rep. of the Congo,0,G / FI,1,7,2,7,2015,0,,1
110149,3,Mali,Dem. Rep. of the Congo,61,G / FI,,105,68,40,2015,40,,7
110150,38,Montenegro,Dem. Rep. of the Congo,40,G / FA,1,3,41,0,2015,0,0,0
110151,1259,Mozambique,Dem. Rep. of the Congo,1920,G / FI,,6137,1920,5476,2015,4094,,
110152,17,Mauritania,Dem. Rep. of the Congo,1,U / AR,16,,17,0,2015,0,,
110153,8,Mauritania,Dem. Rep. of the Congo,27,U / FA,6,41,35,14,2015,14,,2
110154,2167,Malawi,Dem. Rep. of the Congo,0,G / FI,1,7250,3078,6339,2015,6339,0,3077
110155,26,Malawi,Dem. Rep. of the Congo,0,G / AR,0,170,,196,2015,196,0,0
110156,,Malaysia,Dem. Rep. of the Congo,,U / FI,1,1,1,0,2015,0,,
110157,1,Malaysia,Dem. Rep. of the Congo,,U / AR,,,,1,2015,1,,
110158,423,Namibia,Dem. Rep. of the Congo,,G / FI,,608,143,888,2015,852,,143
110159,4,Niger,Dem. Rep. of the Congo,,G / FI,1,4,1,7,2015,7,,
110160,68,Nigeria,Dem. Rep. of the Congo,195,G / FI,45,348,258,158,2015,158,,18
110161,2,Netherlands,Dem. Rep. of the Congo,1,G / FI,1,2,2,2,2015,,,
110162,,Netherlands,Dem. Rep. of the Congo,,G / RA,,2,,,2015,,,
110163,1,Norway,Dem. Rep. of the Congo,0,G / RA,0,0,,0,2015,0,0,0
110164,9,Norway,Dem. Rep. of the Congo,1,G / FI,3,0,7,5,2015,0,3,0
110165,24,Norway,Dem. Rep. of the Congo,1,G / AR,19,18,26,14,2015,0,5,1
110166,2,Nepal,Dem. Rep. of the Congo,,U / FI,,0,2,0,2015,0,,2
110167,4,New Zealand,Dem. Rep. of the Congo,,G / FI,0,1,2,3,2015,0,,2
110168,,Angola,Dem. Rep. of the Congo,,G / FI,,500,,500,2015,0,,
110169,3,Albania,Dem. Rep. of the Congo,,G / FI,,0,,3,2015,3,,
110170,1,Argentina,Dem. Rep. of the Congo,3,G / FI,,5,5,1,2015,0,,2
110171,9,Australia,Dem. Rep. of the Congo,0,G / FI,0,28,,30,2015,0,,0
110172,3,Australia,Dem. Rep. of the Congo,0,G / AR,2,6,2,7,2015,0,,0
110173,0,Zambia,Congo,0,G / FI,0,1,,1,2015,1,0,0
110174,16,United States of America,Congo,21,G / EO,8,178,47,263,2015,,,18
110175,393,United States of America,Congo,68,G / IN,10,389,158,638,2015,,,80
110176,0,Venezuela (Bolivarian Republic of),Congo,,G / FI,,2,,2,2015,2,,
110177,734,South Africa,Congo,,G / FI,424,640,615,759,2015,76,,191
110178,4,South Africa,Congo,2,G / AR,,167,2,169,2015,17,,
110179,,Panama,Congo,,G / FI,,1,,1,2015,1,,
110180,,Peru,Congo,,G / FI,,,,0,2015,0,,
110181,1,Philippines,Congo,,G / FI,,,,1,2015,0,,
110182,6,Poland,Congo,,G / FI,1,2,1,7,2015,,,
110183,14,Portugal,Congo,9,G / FI,0,6,9,11,2015,0,0,0
110184,,Romania,Congo,,G / JR,,1,,,2015,,,
110185,3,Romania,Congo,,G / FI,,0,3,1,2015,1,3,
110186,3,Russian Federation,Congo,0,G / TA,3,2,3,2,2015,2,0,0
110187,2,Russian Federation,Congo,0,G / FI,1,0,1,1,2015,1,0,0
110188,4,Sudan,Congo,0,U / FI,0,0,,4,2015,4,0,0
110189,0,Sudan,Congo,0,G / FI,0,3,,3,2015,3,0,0
110190,2,Senegal,Congo,,G / FA,,243,,245,2015,245,,
110191,1,Somalia,Congo,,U / FI,,0,,1,2015,1,,
110192,69,Serbia and Kosovo (S/RES/1244 (1999)),Congo,72,G / FI,,10,72,7,2015,7,,
110193,0,South Sudan,Congo,0,U / FI,,0,,0,2015,0,,0
110194,,Slovenia,Congo,2,G / FI,,1,2,,2015,0,,
110195,6,Sweden,Congo,0,G / AR,8,2,8,0,2015,0,0,0
110196,35,Sweden,Congo,12,G / FI,0,17,13,33,2015,0,1,0
110197,5,Sweden,Congo,1,G / RA,0,0,2,5,2015,0,1,0
110198,2,Swaziland,Congo,,G / FI,,12,,14,2015,0,,
110199,,Chad,Congo,,G / FA,,1,,1,2015,1,,
110200,,Togo,Congo,,G / FI,,10,,10,2015,10,,
110201,,Tunisia,Congo,1,U / FI,,1,1,0,2015,0,,
110202,,Tunisia,Congo,,U / AR,,1,,1,2015,1,,
110203,3,Turkey,Congo,10,U / AR,,7,10,0,2015,,,
110204,45,Turkey,Congo,65,U / FI,3,256,69,232,2015,232,,1
110205,1,Uganda,Congo,0,G / FA,0,0,,1,2015,1,0,0
110206,5,Ukraine,Congo,3,G / FI,2,10,5,10,2015,7,0,0
110207,2,Ukraine,Congo,1,U / FI,0,0,1,1,2015,1,,0
110208,5,Ukraine,Congo,2,G / JR,2,21,7,19,2015,8,,3
110209,24,Austria,Congo,8,G / FA,3,21,19,23,2015,0,,8
110210,1,Austria,Congo,,G / RA,,,,,2015,,,
110211,1,Belgium,Congo,117,G / RA,,,117,,2015,,,
110212,2,Belgium,Congo,3,G / JR,5,,8,,2015,0,,
